data,valor
2010-01-01,106.3
2010-02-01,103.7
2010-03-01,122.4
2010-04-01,115.7
2010-05-01,121.5
2010-06-01,119.4
2010-07-01,124.6
2010-08-01,126.0
2010-09-01,123.3
2010-10-01,125.5
2010-11-01,124.4
2010-12-01,112.5
2011-01-01,108.6
2011-02-01,111.2
2011-03-01,121.6
2011-04-01,113.6
2011-05-01,124.8
2011-06-01,119.8
2011-07-01,123.6
2011-08-01,129.1
2011-09-01,122.1
2011-10-01,123.8
2011-11-01,121.4
2011-12-01,111.5
2012-01-01,103.4
2012-02-01,104.7
2012-03-01,116.2
2012-04-01,108.1
2012-05-01,119.4
2012-06-01,114.5
2012-07-01,121.8
2012-08-01,130.0
2012-09-01,120.5
2012-10-01,130.3
2012-11-01,122.2
2012-12-01,107.5
2013-01-01,110.1
2013-02-01,102.6
2013-03-01,113.9
2013-04-01,118.7
2013-05-01,122.3
2013-06-01,118.5
2013-07-01,125.9
2013-08-01,130.6
2013-09-01,125.0
2013-10-01,131.2
2013-11-01,123.7
2013-12-01,105.0
2014-01-01,107.9
2014-02-01,107.5
2014-03-01,113.4
2014-04-01,111.9
2014-05-01,118.5
2014-06-01,110.6
2014-07-01,121.7
2014-08-01,123.9
2014-09-01,123.1
2014-10-01,127.3
2014-11-01,116.3
2014-12-01,102.2
2015-01-01,102.7
2015-02-01,97.6
2015-03-01,109.9
2015-04-01,103.5
2015-05-01,108.4
2015-06-01,107.8
2015-07-01,111.2
2015-08-01,113.7
2015-09-01,109.9
2015-10-01,113.3
2015-11-01,102.0
2015-12-01,90.0
2016-01-01,88.9
2016-02-01,88.4
2016-03-01,97.5
2016-04-01,96.7
2016-05-01,100.5
2016-06-01,102.1
2016-07-01,104.4
2016-08-01,108.4
2016-09-01,105.7
2016-10-01,105.1
2016-11-01,100.8
2016-12-01,90.0
2017-01-01,90.8
2017-02-01,88.4
2017-03-01,99.6
2017-04-01,92.4
2017-05-01,105.0
2017-06-01,103.1
2017-07-01,107.3
2017-08-01,112.6
2017-09-01,108.3
2017-10-01,110.9
2017-11-01,105.6
2017-12-01,94.4
2018-01-01,95.9
2018-02-01,90.0
2018-03-01,100.5
2018-04-01,100.8
2018-05-01,98.4
2018-06-01,106.1
2018-07-01,111.6
2018-08-01,114.5
2018-09-01,105.7
2018-10-01,111.6
2018-11-01,104.3
2018-12-01,90.8
2019-01-01,94.0
2019-02-01,92.2
2019-03-01,94.4
2019-04-01,97.1
2019-05-01,106.0
2019-06-01,100.0
2019-07-01,108.9
2019-08-01,112.1
2019-09-01,106.9
2019-10-01,113.1
2019-11-01,102.5
2019-12-01,89.7
2020-01-01,93.3
2020-02-01,91.9
2020-03-01,90.8
2020-04-01,70.2
2020-05-01,82.9
2020-06-01,91.3
2020-07-01,106.0
2020-08-01,109.4
2020-09-01,111.1
2020-10-01,113.4
2020-11-01,105.1
2020-12-01,97.1
2021-01-01,95.5
2021-02-01,92.2
2021-03-01,100.3
2021-04-01,94.7
2021-05-01,103.0
2021-06-01,102.4
2021-07-01,107.5
2021-08-01,108.8
2021-09-01,106.6
2021-10-01,104.6
2021-11-01,100.6
2021-12-01,92.3
2022-01-01,90.1
2022-02-01,89.8
2022-03-01,98.4
2022-04-01,94.6
2022-05-01,102.7
2022-06-01,101.8
2022-07-01,107.1
2022-08-01,110.7
2022-09-01,105.6
2022-10-01,105.9
2022-11-01,101.4
2022-12-01,92.0
2023-01-01,90.4
2023-02-01,87.4
2023-03-01,99.4
2023-04-01,92.0
2023-05-01,104.7
2023-06-01,101.9
2023-07-01,105.5
2023-08-01,111.3
2023-09-01,106.3
2023-10-01,107.0
2023-11-01,102.8
2023-12-01,92.7
2024-01-01,93.8
2024-02-01,92.4
2024-03-01,96.5
2024-04-01,99.7
2024-05-01,103.5
2024-06-01,105.2
2024-07-01,112.0
2024-08-01,113.8
2024-09-01,109.8
2024-10-01,113.4
2024-11-01,104.5
2024-12-01,94.0
2025-01-01,95.0
2025-02-01,93.7
