,DIESEL,SELIC,DOLAR,EURO
DIESEL,1.0,-0.24797804118533703,0.9005306019910553,0.8971512538843094
SELIC,-0.24797804118533703,1.0,-0.13085302226362866,-0.24019626125151106
DOLAR,0.9005306019910553,-0.13085302226362866,1.0,0.9863800641249372
EURO,0.8971512538843094,-0.24019626125151106,0.9863800641249372,1.0
